SWP_HOMETEAM,SAPS_HOMETEAM,SAPA_HOMETEAM,Home_Win_Rate,SAPS_HOME_ONLY_HOMETEAM,SAPA_HOME_ONLY_HOMETEAM,L5G_WP_HOMETEAM,Last 5 games' avg. runs_Home Team,Last 5 games' avg. runs conceded_Home Team,R_H2H_WP_HOMETEAM,ERA_HOMETEAM_PITCHER,AVG_BATTING_AVERAGE_HOMETEAM_Total,AVG_BATTING_AVERAGE_HOMETEAM_VS LEFTPitcher,AVG_BATTING_AVERAGE_HOMETEAM_VS RightPitcher,AVG_BATTING_AVERAGE_HOMETEAM_HOMEONLY,ERA__HOMETEAMPITCHER_HOMEONLY,AVG_BATTING_AVERAGE_HOMETEAM_DAY_GAME,ERA__HOMETEAMPITCHER_DAYGAME,AVG_BATTING_AVERAGE_HOMETEAM_NIGHT_GAME,ERA__HOMETEAMPITCHER_NIGHTGAME,On Base%_HOMETEAM,ERA_HOMETEAM,Home_Team_PM,Home_Team_BM,HOMETEAM_Woba,HOMETEAM_SIERA,BP_ERA_30d_HOME,BP_IRS_30d_HOME,BP_IP_3d_HOME,HOMETEAM_BULLPEN_WORKLOAD,HOMETEAM_FPct,HOMETEAM_E,HOMETEAM_BvP_AB ,HOMETEAM_BvP_AVG,HOMETEAM_BvP_OBP,HOMETEAM_BvP_CONF,SWP_AWAYTEAM,SAPS_AWAYTEAM,SAPA_AWAYTEAM,AwayTEAM_Win_Rate_ONLYAWAY,SAPS_AWAY_ONLY_AWAYTEAM,SAPA_AWAY_ONLY_AWAYTEAM,L5G_WP_AWAYTEAM,Last 5 games' avg. runs_AWAY Team,Last 5 games' avg. runs conceded_AWAY Team,R_H2H_WP_AWAYTEAM,ERA_AWAYTEAM_PITCHER,AVG_BATTING_AVERAGE_AWAYTEAM_Total,AVG_BATTING_AVERAGE_AWAYTEAM_VS LEFTPitcher,AVG_BATTING_AVERAGE_AWAYTEAM_VS RightPitcher,AVG_BATTING_AVERAGE_AWAYTEAM_AWAYONLY,ERA__AWAYTEAMPITCHER_AWAYONLY,AVG_BATTING_AVERAGE_AWAYTEAM_DAY_GAME,ERA__AWAYTEAMPITCHER_DAYGAME,AVG_BATTING_AVERAGE_AWAYTEAM_NIGHT_GAME,ERA__AWAYTEAMPITCHER_NIGHTGAME,On Base%_AWAYTEAM,ERA_AWAYTEAM,AWAYTEAM_PM,AWAYTEAM_BM,AWAYTEAM_wOBA,AWAYTEAM_SIERA,BP_ERA_30d_AWAY,BP_IRS_30d_AWAY,BP_IP_3d_AWAY,AWAYTEAM_BULLPEN_WORKLOAD,AWAYTEAM_FPct,AWAYTEAM_E,AWAYTEAM_BvP_AB ,AWAYTEAM_BvP_AVG,AWAYTEAM_BvP_OBP,AWAYTEAM_BvP_CONF,Series_Game_Num,Series_Home_Wins,Series_Away_Wins,U/O_LINE,Avg_Temp_C,Precipitation_mm,Max_Wind_kph,Wind_Dir_Deg,PARK_FACTOR,UMP_NAME,UMP_RPG,HOME_TRAVEL_MI,HOME_REST_DAYS,HOME_ROAD_STREAK,AWAY_TRAVEL_MI,AWAY_REST_DAYS,AWAY_ROAD_STREAK,HOME_SIT_TAG,AWAY_SIT_TAG,HOME_SP_IP,HOME_SP_xwOBA,HOME_SP_HardHit,HOME_SP_Barrel,HOME_SP_PitchMix,AWAY_SP_IP,AWAY_SP_xwOBA,AWAY_SP_HardHit,AWAY_SP_Barrel,AWAY_SP_PitchMix,HOME_SP_xFIP,AWAY_SP_xFIP,HOME_SP_FB_Velo,AWAY_SP_FB_Velo,HOME_SP_FB_Velo_Trend,AWAY_SP_FB_Velo_Trend,U/O_RESULT,Winning Team,DATE,GAME_ID
0.492,4.57,3.83,0.526,4.51,3.75,0.6,5.2,2.0,0.0,4.01,0.265,0.229,0.273,0.264,2.97,0.265,7.32,0.266,2.64,0.343,3.49,1.79,0.86,0.320454624869481,3.9000536618321506,3.35,22.6,8.0,16,0.988,52,250,0.216,0.283,8,0.487,3.97,4.2,0.5,3.79,3.93,0.2,5.0,6.4,0.857,3.85,0.253,0.199,0.28,0.228,3.75,0.246,3.77,0.272,3.87,0.327,3.84,0.26,2.94,0.30289648989666257,3.7723068849381334,4.84,40.0,9.3,24,0.984,65,32.0,0.25,0.294,3.0,1,0,0,8.5,24.8,65.2,17.6,205,99,,,2085,1,0,237,1,4,none,none,67.1,0.286,39.0,7.7,4-Seam Fastball:41/Changeup:31/Curveball:23,138.0,0.323,39.6,8.8,Cutter:25/Sinker:23/4-Seam Fastball:22,3.5295917885336436,4.234312115199324,95.71,94.02,0.17,-0.02,,,2026-08-11,DET_CLE
0.504,4.4,4.28,0.6,4.43,3.63,0.4,5.2,4.4,0.667,3.61,0.253,0.238,0.255,0.266,3.29,0.245,3.19,0.26,4.15,0.323,3.97,0.99,0.9,0.321752907467446,4.025018699394741,4.36,32.1,7.0,21,0.981,79,72,0.167,0.211,5,0.483,5.02,4.84,0.467,4.48,4.39,0.2,3.6,5.2,0.333,3.96,0.258,0.227,0.269,0.256,4.63,0.244,4.81,0.272,3.53,0.34,4.34,0.65,1.91,0.32911490608931454,3.9113276569658817,3.36,55.0,9.0,19,0.983,71,16.0,0.125,0.125,1.0,1,0,0,7.0,29.1,0.0,15.7,108,96,,,0,1,0,1014,1,1,none,none,109.2,0.301,39.5,10.1,4-Seam Fastball:40/Sinker:16/Slider:15,129.2,0.27,39.1,7.1,4-Seam Fastball:41/Sweeper:16/Changeup:14,3.952945888525076,3.141936622582098,98.21,96.87,0.39,-0.34,,,2026-08-11,MIA_PIT
0.492,5.36,5.16,0.433,5.35,5.7,0.8,6.6,3.4,0.667,,0.25,0.242,0.248,0.255,,0.292,,0.237,,0.315,4.71,,1.16,0.33437555054569224,4.348737119163717,3.84,38.6,10.0,20,0.98,88,72,0.25,0.27,6,0.58,5.16,4.26,0.567,5.05,4.08,0.8,5.8,4.0,0.333,3.6,0.249,0.274,0.243,0.248,3.24,0.247,3.05,0.251,4.03,0.34,4.05,0.56,1.2,0.33264522232492655,4.153242655812935,2.75,22.7,6.0,18,0.99,44,,,,,1,0,0,9.0,26.3,0.0,16.5,199,99,,,0,1,0,937,1,4,none,none,,,,,,132.2,0.299,35.4,9.3,4-Seam Fastball:41/Split-Finger:33/Sweeper:15,,3.8396399699628017,,91.73,,-0.82,,,2026-08-11,WSH_CHC
0.559,4.5,3.81,0.527,4.29,3.97,0.6,2.4,2.2,0.667,3.79,0.231,0.264,0.226,0.24,4.11,0.223,1.41,0.234,4.9,0.314,3.3,1.48,1.49,0.3150810300623756,3.7002163163315838,3.4,9.4,5.0,16,0.985,62,70,0.229,0.243,5,0.471,3.88,4.04,0.404,4.0,4.53,0.2,1.6,4.4,0.333,4.31,0.239,0.244,0.234,0.252,6.71,0.254,3.86,0.233,4.47,0.324,3.78,1.71,1.41,0.30304485121054764,3.7353051030083204,4.5,38.1,8.3,22,0.986,59,38.0,0.263,0.364,3.0,1,0,0,8.5,25.6,0.4,17.6,278,101,,,0,1,0,2402,1,1,none,none,121.0,0.322,42.2,8.7,Changeup:25/4-Seam Fastball:24/Sweeper:21,127.1,0.295,42.7,6.9,4-Seam Fastball:47/Sinker:19/Slider:15,3.1792340786145936,3.6842366711847356,96.15,95.8,-0.14,0.37,,,2026-08-11,NYY_SEA
0.475,3.92,4.41,0.483,3.85,4.5,0.6,4.4,4.0,0.7,2.28,0.235,0.254,0.231,0.236,2.86,0.256,2.13,0.222,2.4,0.294,3.99,0.69,1.24,0.2993317217345135,4.005475814671844,3.71,29.4,16.3,32,0.982,77,102,0.255,0.345,7,0.542,4.44,3.74,0.603,4.51,3.42,0.4,6.4,5.0,0.3,3.38,0.257,0.268,0.253,0.246,2.89,0.241,4.82,0.27,2.45,0.333,3.49,0.56,1.54,0.3175409850967505,3.746614024451062,1.78,17.6,13.7,23,0.987,57,174.0,0.218,0.327,8.0,2,1,0,7.5,21.9,0.0,15.0,177,100,,,0,0,0,0,0,2,none,none,126.1,0.256,33.1,4.5,4-Seam Fastball:37/Slider:30/Changeup:12,24.0,0.325,35.6,4.1,Slider:30/Changeup:23/4-Seam Fastball:23,2.623121835325662,4.278741977612178,97.37,93.88,-1.15,-0.07,,,2026-08-11,TOR_BOS
0.597,4.88,3.9,0.65,4.98,3.85,0.4,4.8,4.0,0.333,3.14,0.253,0.237,0.258,0.266,2.24,0.232,4.65,0.263,2.47,0.321,3.64,1.23,1.2,0.3199217797429972,3.998106189924644,4.59,10.3,10.0,23,0.987,56,88,0.205,0.286,8,0.442,4.22,4.56,0.459,4.1,4.4,0.8,7.6,5.0,0.583,3.51,0.246,0.242,0.246,0.254,2.81,0.273,4.39,0.227,2.87,0.316,4.11,1.51,2.14,0.3056193872988291,3.914537495177772,2.22,29.2,12.0,21,0.981,79,242.0,0.314,0.385,9.0,2,0,1,8.5,27.1,0.0,15.3,258,102,,,0,0,0,0,0,8,none,none,100.1,0.32,36.9,5.9,Sinker:34/Changeup:30/Cutter:23,130.2,0.296,36.0,6.9,Sinker:32/4-Seam Fastball:21/Curveball:15,4.136303875135766,3.332802483065758,90.06,96.1,-0.57,-0.07,,,2026-08-11,ATL_NYM
0.492,4.68,4.94,0.534,4.57,4.45,0.6,5.4,4.4,0.5,4.45,0.234,0.253,0.217,0.212,2.72,0.242,4.89,0.238,4.02,0.326,4.59,0.84,1.54,0.31750240874816504,4.263713975722483,3.38,47.6,9.3,24,0.986,58,0,,,0,0.479,4.48,4.79,0.439,4.31,5.02,0.2,3.6,5.0,0.5,3.43,0.223,0.227,0.219,0.225,3.48,0.241,3.13,0.209,3.58,0.308,4.24,0.79,0.84,0.3152393533662298,4.207348601706293,3.67,26.9,12.0,20,0.982,78,114.0,0.158,0.2,8.0,2,1,0,9.5,25.9,0.8,15.8,50,100,,,0,0,0,0,0,5,none,none,93.0,0.323,33.1,9.7,Changeup:35/4-Seam Fastball:32/Slider:16,107.2,0.319,40.9,6.4,4-Seam Fastball:40/Split-Finger:20/Slider:15,4.842823951218718,4.398155944533916,88.28,94.35,-1.01,0.28,,,2026-08-11,MIN_BAL
0.521,4.76,4.44,0.621,4.77,3.75,0.4,4.8,6.0,,3.08,0.244,0.246,0.238,0.247,3.41,0.252,2.37,0.247,3.52,0.313,4.11,0.5,0.44,0.3170025225208156,4.132044787049718,3.19,38.2,11.0,24,0.984,65,34,0.235,0.316,4,0.479,4.12,4.75,0.474,4.16,4.89,0.4,3.0,5.4,,4.6,0.223,0.201,0.228,0.239,3.32,0.213,5.08,0.233,4.19,0.311,4.48,0.59,1.37,0.31075599103552254,4.5111071930588915,3.93,41.2,4.7,16,0.985,63,12.0,0.333,0.5,1.0,1,0,0,8.5,22.7,79.6,39.7,258,99,,,0,1,0,595,1,4,none,none,128.2,0.294,36.6,7.8,4-Seam Fastball:38/Curveball:21/Slider:17,62.2,0.373,38.3,7.8,4-Seam Fastball:27/Sinker:25/Curveball:24,3.6693316855210303,4.839804584669897,94.81,94.05,0.26,,,,2026-08-11,CWS_CIN
0.496,4.37,4.45,0.469,3.64,4.35,0.6,4.8,4.2,0.0,3.63,0.249,0.252,0.251,0.23,4.34,0.27,3.95,0.232,3.47,0.317,4.13,0.77,1.54,0.3080874705669522,4.251837608163926,4.75,40.6,11.3,18,0.988,53,38,0.158,0.273,3,0.533,4.45,4.44,0.552,4.03,4.16,0.6,5.8,5.2,1.0,2.65,0.248,0.25,0.263,0.239,4.48,0.252,3.58,0.263,2.1,0.315,4.2,0.92,1.46,0.31042473394142334,3.50495952651259,4.24,48.0,14.7,29,0.986,61,98.0,0.327,0.377,8.0,2,0,1,8.5,30.2,0.0,20.7,213,100,,,0,0,0,0,0,2,none,none,124.0,0.299,34.1,5.5,4-Seam Fastball:32/Slider:30/Sinker:18,149.2,0.285,42.7,7.8,Sinker:43/Changeup:38/Slider:19,3.975059517352812,2.5994764467230156,95.08,,0.14,,,,2026-08-11,STL_PHI
0.378,4.08,4.87,0.424,3.56,4.42,0.4,2.4,5.4,0.571,7.11,0.245,0.224,0.249,0.231,5.92,0.253,7.2,0.242,7.04,0.324,4.51,1.54,1.36,0.3053064011655269,4.197219208395769,3.55,48.0,13.7,24,0.983,70,20,0.4,0.4,2,0.504,4.14,4.39,0.467,4.17,4.65,0.8,4.4,2.6,0.429,0.0,0.214,0.234,0.245,0.259,,0.274,0.0,0.244,,0.277,4.25,0.0,2.97,0.31618701351225964,3.928463376822332,5.17,31.4,14.7,21,0.988,50,4.0,0.5,0.5,0.0,2,0,1,9.0,23.9,0.0,16.6,230,100,,,0,0,0,0,0,2,none,none,50.2,0.362,36.4,10.9,Cutter:30/Sinker:27/Split-Finger:26,4.1,0.277,46.2,7.7,4-Seam Fastball:47,5.585029003718413,4.619457373812463,94.47,88.82,,0.0,,,2026-08-11,LAA_TEX
